year_month,blogs.elespectador.com,blogs.eltiempo.com,citytv.eltiempo.com,elespectador.com,eltiempo.com,especiales.noticiasrcn.com,larepublica.co,lasillavacia.com,noticiasrcn.com,pulzo.com,semana.com
2022-01,1,0,0,0,67,0,0,0,0,20,0
2022-02,34,13,0,0,237,0,0,0,0,249,0
2022-03,51,18,0,0,232,0,0,0,0,250,0
2022-04,54,13,0,0,237,0,0,0,0,250,0
2022-05,50,13,0,0,237,0,0,0,0,250,0
2022-06,49,11,0,0,239,0,0,0,0,249,0
2022-07,1,5,0,0,99,0,0,0,0,93,0
2022-08,42,14,0,0,236,0,0,0,0,250,0
2022-09,52,9,0,0,241,0,0,0,0,249,0
2022-10,51,9,0,0,241,0,0,0,0,251,0
2022-11,53,7,0,0,243,0,0,0,0,250,0
2022-12,27,4,0,0,246,0,0,0,0,250,0
2023-01,1,1,0,0,95,0,0,0,0,105,0
2023-02,37,53,0,0,87,0,0,0,0,250,0
2023-03,39,37,0,36,213,0,121,30,88,250,250
2023-04,21,8,0,205,242,0,250,52,250,250,250
2023-05,35,4,0,205,246,0,250,61,250,250,250
2023-06,21,8,0,203,242,0,250,41,250,250,250
2023-07,2,2,0,17,58,0,14,2,24,47,62
2023-08,12,6,7,238,237,0,250,51,250,250,250
2023-09,23,3,2,227,245,0,250,76,250,250,250
2023-10,30,4,14,195,232,0,250,112,250,250,250
2023-11,14,2,10,224,238,0,250,113,250,249,249
2023-12,11,5,12,239,233,0,250,79,250,250,250
2024-01,0,1,0,10,39,0,5,3,12,55,23
2024-02,58,2,12,354,236,0,250,157,250,250,250
2024-03,60,8,13,110,229,0,250,95,250,250,250
2024-04,72,9,0,42,241,0,250,122,250,250,250
2024-05,60,5,0,0,245,0,250,121,250,250,250
2024-06,52,7,5,58,238,0,250,127,250,250,250
2024-07,2,3,2,6,18,0,12,13,36,72,41
2024-08,56,11,1,300,238,0,250,153,250,250,250
2024-09,32,9,2,167,239,0,250,223,250,250,250
2024-10,22,31,4,133,215,1,250,160,249,250,250
2024-11,22,10,0,133,240,0,250,160,250,250,250
2024-12,28,3,0,141,247,1,250,154,249,250,250
