year_month,blogs.elespectador.com,blogs.eltiempo.com,elespectador.com,eltiempo.com,larepublica.co,noticiasrcn.com,pulzo.com,semana.com
2022-01,0,0,0,2,0,0,0,0
2022-02,0,0,0,5,0,0,2,0
2022-03,0,0,0,1,0,0,1,0
2022-04,0,2,0,3,0,0,0,0
2022-05,0,1,0,5,0,0,2,0
2022-06,0,0,0,5,0,0,4,0
2022-07,0,0,0,1,0,0,1,0
2022-08,0,2,0,7,0,0,2,0
2022-09,0,0,0,2,0,0,5,0
2022-10,0,0,0,14,0,0,8,0
2022-11,0,0,0,7,0,0,12,0
2022-12,0,0,0,4,0,0,4,0
2023-01,0,0,0,2,0,0,0,0
2023-02,2,0,0,1,0,0,6,0
2023-03,1,2,0,7,4,3,4,5
2023-04,1,0,2,6,12,5,6,11
2023-05,2,0,3,6,10,2,2,3
2023-06,0,0,1,6,9,6,9,11
2023-07,0,0,0,3,1,0,1,0
2023-08,0,0,4,7,11,3,5,8
2023-09,1,0,1,4,9,3,4,8
2023-10,3,0,8,5,7,3,3,6
2023-11,1,0,6,3,11,1,2,7
2023-12,0,0,3,5,9,4,8,2
2024-01,0,0,0,1,0,0,0,1
2024-02,0,0,8,3,9,0,2,4
2024-03,0,1,2,8,13,0,4,4
2024-04,4,0,0,10,8,0,5,6
2024-05,0,0,0,4,11,0,5,4
2024-06,4,0,0,10,11,3,7,5
2024-07,0,0,0,0,1,0,0,0
2024-08,4,0,2,9,6,3,4,5
2024-09,1,1,5,6,12,3,5,5
2024-10,1,0,3,4,6,1,3,8
2024-11,0,0,5,4,12,4,2,7
2024-12,1,0,3,3,11,4,3,3
